Data Table for Daily Case Trends - Florida
Date generated: Tue Dec 14 2021 15:16:56 GMT-1000 (Hawaii-Aleutian Standard Time)
State,Date,New Cases
Florida,Dec 13 2021,3067
Florida,Dec 12 2021,1976
Florida,Dec 11 2021,2281
Florida,Dec 10 2021,2588
Florida,Dec  9 2021,2416
Florida,Dec  8 2021,2610
Florida,Dec  7 2021,1909
Florida,Dec  6 2021,1692
Florida,Dec  5 2021,1276
Florida,Dec  4 2021,1593
Florida,Dec  3 2021,2012
Florida,Dec  2 2021,1993
Florida,Dec  1 2021,2273
Florida,Nov 30 2021,2085
Florida,Nov 29 2021,1672
Florida,Nov 28 2021,1113
Florida,Nov 27 2021,1056
Florida,Nov 26 2021,686
Florida,Nov 25 2021,1055
Florida,Nov 24 2021,1687
Florida,Nov 23 2021,1574
Florida,Nov 22 2021,1611
Florida,Nov 21 2021,900
Florida,Nov 20 2021,1174
Florida,Nov 19 2021,1641
Florida,Nov 18 2021,1701
Florida,Nov 17 2021,1999
Florida,Nov 16 2021,1716
Florida,Nov 15 2021,1685
Florida,Nov 14 2021,1034
Florida,Nov 13 2021,1145
Florida,Nov 12 2021,1605
Florida,Nov 11 2021,1508
Florida,Nov 10 2021,2529
Florida,Nov  9 2021,1514
Florida,Nov  8 2021,1809
Florida,Nov  7 2021,271
Florida,Nov  6 2021,1398
Florida,Nov  5 2021,1675
Florida,Nov  4 2021,1723
Florida,Nov  3 2021,1858
Florida,Nov  2 2021,1860
Florida,Nov  1 2021,2049
Florida,Oct 31 2021,940
Florida,Oct 30 2021,937
Florida,Oct 29 2021,1754
Florida,Oct 28 2021,2076
Florida,Oct 27 2021,2353
Florida,Oct 26 2021,1900
Florida,Oct 25 2021,2039
Florida,Oct 24 2021,945
Florida,Oct 23 2021,1392
Florida,Oct 22 2021,2277
Florida,Oct 21 2021,2067
Florida,Oct 20 2021,2436
Florida,Oct 19 2021,2660
Florida,Oct 18 2021,2154
Florida,Oct 17 2021,1833
Florida,Oct 16 2021,1507
Florida,Oct 15 2021,2634
Florida,Oct 14 2021,2872
Florida,Oct 13 2021,3440
Florida,Oct 12 2021,2582
Florida,Oct 11 2021,2671
Florida,Oct 10 2021,1866
Florida,Oct  9 2021,2870
Florida,Oct  8 2021,3215
Florida,Oct  7 2021,3927
Florida,Oct  6 2021,3938
Florida,Oct  5 2021,3755
Florida,Oct  4 2021,3661
Florida,Oct  3 2021,2714
Florida,Oct  2 2021,3196
Florida,Oct  1 2021,4500
Florida,Sep 30 2021,5933
Florida,Sep 29 2021,4992
Florida,Sep 28 2021,5839
