Data Table for Daily Case Trends - Texas
Date generated: Tue Dec 14 2021 15:17:07 GMT-1000 (Hawaii-Aleutian Standard Time)
State,Date,New Cases
Texas,Dec 13 2021,4237
Texas,Dec 12 2021,2590
Texas,Dec 11 2021,4704
Texas,Dec 10 2021,5017
Texas,Dec  9 2021,4101
Texas,Dec  8 2021,3849
Texas,Dec  7 2021,4955
Texas,Dec  6 2021,3874
Texas,Dec  5 2021,5231
Texas,Dec  4 2021,8146
Texas,Dec  3 2021,4690
Texas,Dec  2 2021,5069
Texas,Dec  1 2021,3620
Texas,Nov 30 2021,6276
Texas,Nov 29 2021,2951
Texas,Nov 28 2021,268
Texas,Nov 27 2021,509
Texas,Nov 26 2021,635
Texas,Nov 25 2021,4483
Texas,Nov 24 2021,4168
Texas,Nov 23 2021,3541
Texas,Nov 22 2021,1956
Texas,Nov 21 2021,517
Texas,Nov 20 2021,2670
Texas,Nov 19 2021,4370
Texas,Nov 18 2021,4744
Texas,Nov 17 2021,4867
Texas,Nov 16 2021,4301
Texas,Nov 15 2021,1375
Texas,Nov 14 2021,553
Texas,Nov 13 2021,3849
Texas,Nov 12 2021,2813
Texas,Nov 11 2021,3767
Texas,Nov 10 2021,3670
Texas,Nov  9 2021,5359
Texas,Nov  8 2021,1551
Texas,Nov  7 2021,1140
Texas,Nov  6 2021,2469
Texas,Nov  5 2021,3336
Texas,Nov  4 2021,3127
Texas,Nov  3 2021,4737
Texas,Nov  2 2021,4221
Texas,Nov  1 2021,1211
Texas,Oct 31 2021,665
Texas,Oct 30 2021,3770
Texas,Oct 29 2021,5268
Texas,Oct 28 2021,4146
Texas,Oct 27 2021,4498
Texas,Oct 26 2021,6014
Texas,Oct 25 2021,1843
Texas,Oct 24 2021,1516
Texas,Oct 23 2021,3771
Texas,Oct 22 2021,5168
Texas,Oct 21 2021,4310
Texas,Oct 20 2021,5328
Texas,Oct 19 2021,6746
Texas,Oct 18 2021,2252
Texas,Oct 17 2021,630
Texas,Oct 16 2021,5065
Texas,Oct 15 2021,6033
Texas,Oct 14 2021,5852
Texas,Oct 13 2021,8849
Texas,Oct 12 2021,9217
Texas,Oct 11 2021,2586
Texas,Oct 10 2021,1628
Texas,Oct  9 2021,5284
Texas,Oct  8 2021,8431
Texas,Oct  7 2021,8095
Texas,Oct  6 2021,12566
Texas,Oct  5 2021,10012
Texas,Oct  4 2021,2951
Texas,Oct  3 2021,2677
Texas,Oct  2 2021,7397
Texas,Oct  1 2021,10219
Texas,Sep 30 2021,10247
Texas,Sep 29 2021,11819
Texas,Sep 28 2021,14771
Texas,Sep 27 2021,5792
Texas,Sep 26 2021,5025
Texas,Sep 25 2021,11794
Texas,Sep 24 2021,13498
Texas,Sep 23 2021,11044
Texas,Sep 22 2021,18709
Texas,Sep 21 2021,13156
Texas,Sep 20 2021,5271
Texas,Sep 19 2021,2435
Texas,Sep 18 2021,14401
Texas,Sep 17 2021,18097
Texas,Sep 16 2021,18683
Texas,Sep 15 2021,24454
Texas,Sep 14 2021,23460
Texas,Sep 13 2021,10143
Texas,Sep 12 2021,4362
Texas,Sep 11 2021,12781
Texas,Sep 10 2021,23245
Texas,Sep  9 2021,29566
Texas,Sep  8 2021,34425
Texas,Sep  7 2021,7103
Texas,Sep  6 2021,3828
Texas,Sep  5 2021,7324
Texas,Sep  4 2021,17144
Texas,Sep  3 2021,26615
Texas,Sep  2 2021,21967
Texas,Sep  1 2021,21511
Texas,Aug 31 2021,28245
Texas,Aug 30 2021,9880
Texas,Aug 29 2021,3482
Texas,Aug 28 2021,16431
Texas,Aug 27 2021,17186
Texas,Aug 26 2021,17029
Texas,Aug 25 2021,24115
Texas,Aug 24 2021,20701
Texas,Aug 23 2021,5726
Texas,Aug 22 2021,11832
Texas,Aug 21 2021,21787
Texas,Aug 20 2021,15343
Texas,Aug 19 2021,13517
Texas,Aug 18 2021,25104
Texas,Aug 17 2021,23990
Texas,Aug 16 2021,5733
Texas,Aug 15 2021,5098
Texas,Aug 14 2021,26454
Texas,Aug 13 2021,13614
Texas,Aug 12 2021,14920
Texas,Aug 11 2021,17898
Texas,Aug 10 2021,17401
Texas,Aug  9 2021,2386
Texas,Aug  8 2021,5740
Texas,Aug  7 2021,19981
Texas,Aug  6 2021,11340
Texas,Aug  5 2021,13895
Texas,Aug  4 2021,18757
Texas,Aug  3 2021,14239
Texas,Aug  2 2021,4358
Texas,Aug  1 2021,2359
Texas,Jul 31 2021,12732
Texas,Jul 30 2021,15713
Texas,Jul 29 2021,8211
Texas,Jul 28 2021,12880
Texas,Jul 27 2021,8500
Texas,Jul 26 2021,1565
Texas,Jul 25 2021,2330
Texas,Jul 24 2021,6482
Texas,Jul 23 2021,7191
Texas,Jul 22 2021,8312
Texas,Jul 21 2021,5017
Texas,Jul 20 2021,4301
Texas,Jul 19 2021,1033
Texas,Jul 18 2021,2101
Texas,Jul 17 2021,3566
Texas,Jul 16 2021,4239
Texas,Jul 15 2021,4769
Texas,Jul 14 2021,3020
Texas,Jul 13 2021,3652
Texas,Jul 12 2021,537
Texas,Jul 11 2021,600
Texas,Jul 10 2021,2320
Texas,Jul  9 2021,2397
Texas,Jul  8 2021,4043
Texas,Jul  7 2021,1846
Texas,Jul  6 2021,1002
Texas,Jul  5 2021,346
Texas,Jul  4 2021,419
Texas,Jul  3 2021,1438
Texas,Jul  2 2021,1911
Texas,Jul  1 2021,2246
Texas,Jun 30 2021,1610
Texas,Jun 29 2021,2324
Texas,Jun 28 2021,183
Texas,Jun 27 2021,318
Texas,Jun 26 2021,1845
Texas,Jun 25 2021,1678
Texas,Jun 24 2021,2240
Texas,Jun 23 2021,679
Texas,Jun 22 2021,1793
Texas,Jun 21 2021,86
Texas,Jun 20 2021,526
Texas,Jun 19 2021,2004
Texas,Jun 18 2021,934
Texas,Jun 17 2021,1767
Texas,Jun 16 2021,1433
Texas,Jun 15 2021,1307
Texas,Jun 14 2021,376
Texas,Jun 13 2021,320
Texas,Jun 12 2021,1068
Texas,Jun 11 2021,1463
Texas,Jun 10 2021,2475
Texas,Jun  9 2021,6493
Texas,Jun  8 2021,1792
Texas,Jun  7 2021,505
Texas,Jun  6 2021,637
Texas,Jun  5 2021,1979
Texas,Jun  4 2021,2762
Texas,Jun  3 2021,1862
Texas,Jun  2 2021,1995
Texas,Jun  1 2021,159
Texas,May 31 2021,144
Texas,May 30 2021,384
Texas,May 29 2021,1081
Texas,May 28 2021,2032
Texas,May 27 2021,1289
Texas,May 26 2021,2181
Texas,May 25 2021,3964
Texas,May 24 2021,687
Texas,May 23 2021,768
Texas,May 22 2021,1353
Texas,May 21 2021,1577
Texas,May 20 2021,1903
Texas,May 19 2021,2015
Texas,May 18 2021,4077
Texas,May 17 2021,500
Texas,May 16 2021,650
Texas,May 15 2021,1983
Texas,May 14 2021,2613
Texas,May 13 2021,2448
Texas,May 12 2021,2366
Texas,May 11 2021,3966
Texas,May 10 2021,753
Texas,May  9 2021,1416
Texas,May  8 2021,2190
Texas,May  7 2021,2926
Texas,May  6 2021,2360
Texas,May  5 2021,2504
Texas,May  4 2021,4153
Texas,May  3 2021,1541
Texas,May  2 2021,1307
Texas,May  1 2021,3486
Texas,Apr 30 2021,3515
Texas,Apr 29 2021,3572
Texas,Apr 28 2021,4269
Texas,Apr 27 2021,5608
Texas,Apr 26 2021,1918
Texas,Apr 25 2021,1407
Texas,Apr 24 2021,2449
Texas,Apr 23 2021,3472
Texas,Apr 22 2021,3341
Texas,Apr 21 2021,4856
Texas,Apr 20 2021,6057
Texas,Apr 19 2021,1199
Texas,Apr 18 2021,1904
Texas,Apr 17 2021,2682
Texas,Apr 16 2021,3474
Texas,Apr 15 2021,3362
Texas,Apr 14 2021,3336
Texas,Apr 13 2021,7277
Texas,Apr 12 2021,1660
Texas,Apr 11 2021,1772
Texas,Apr 10 2021,3198
Texas,Apr  9 2021,3402
Texas,Apr  8 2021,4699
Texas,Apr  7 2021,4544
Texas,Apr  6 2021,5771
Texas,Apr  5 2021,959
Texas,Apr  4 2021,1714
Texas,Apr  3 2021,1650
Texas,Apr  2 2021,3518
Texas,Apr  1 2021,3337
Texas,Mar 31 2021,4497
Texas,Mar 30 2021,3139
Texas,Mar 29 2021,3589
Texas,Mar 28 2021,3415
Texas,Mar 27 2021,3219
Texas,Mar 26 2021,5580
Texas,Mar 25 2021,3234
Texas,Mar 24 2021,4344
Texas,Mar 23 2021,4595
Texas,Mar 22 2021,2532
Texas,Mar 21 2021,1982
Texas,Mar 20 2021,3794
Texas,Mar 19 2021,3574
Texas,Mar 18 2021,4541
Texas,Mar 17 2021,5076
Texas,Mar 16 2021,5068
Texas,Mar 15 2021,2743
Texas,Mar 14 2021,2628
Texas,Mar 13 2021,4906
Texas,Mar 12 2021,6505
Texas,Mar 11 2021,4755
Texas,Mar 10 2021,4863
Texas,Mar  9 2021,5313
Texas,Mar  8 2021,2595
Texas,Mar  7 2021,2953
Texas,Mar  6 2021,5570
Texas,Mar  5 2021,6853
Texas,Mar  4 2021,8028
Texas,Mar  3 2021,7822
Texas,Mar  2 2021,7747
Texas,Mar  1 2021,3821
Texas,Feb 28 2021,3815
Texas,Feb 27 2021,11093
Texas,Feb 26 2021,7961
Texas,Feb 25 2021,7363
Texas,Feb 24 2021,7517
Texas,Feb 23 2021,11809
Texas,Feb 22 2021,6365
Texas,Feb 21 2021,4484
Texas,Feb 20 2021,6486
Texas,Feb 19 2021,2937
Texas,Feb 18 2021,3131
Texas,Feb 17 2021,3766
Texas,Feb 16 2021,3348
Texas,Feb 15 2021,3889
Texas,Feb 14 2021,6933
Texas,Feb 13 2021,11282
Texas,Feb 12 2021,12502
Texas,Feb 11 2021,11890
Texas,Feb 10 2021,12897
Texas,Feb  9 2021,13329
Texas,Feb  8 2021,8040
Texas,Feb  7 2021,6404
Texas,Feb  6 2021,13897
Texas,Feb  5 2021,14493
Texas,Feb  4 2021,15283
Texas,Feb  3 2021,17620
Texas,Feb  2 2021,23047
Texas,Feb  1 2021,31811
Texas,Jan 31 2021,11490
Texas,Jan 30 2021,19114
Texas,Jan 29 2021,19076
Texas,Jan 28 2021,18220
Texas,Jan 27 2021,19613
Texas,Jan 26 2021,26274
Texas,Jan 25 2021,6319
Texas,Jan 24 2021,11565
Texas,Jan 23 2021,17672
Texas,Jan 22 2021,22646
Texas,Jan 21 2021,22360
Texas,Jan 20 2021,31255
Texas,Jan 19 2021,9476
Texas,Jan 18 2021,11590
Texas,Jan 17 2021,16402
Texas,Jan 16 2021,24657
Texas,Jan 15 2021,27204
Texas,Jan 14 2021,24325
Texas,Jan 13 2021,26082
Texas,Jan 12 2021,26052
Texas,Jan 11 2021,14834
Texas,Jan 10 2021,15855
Texas,Jan  9 2021,23290
Texas,Jan  8 2021,23520
Texas,Jan  7 2021,24578
Texas,Jan  6 2021,24010
Texas,Jan  5 2021,31630
Texas,Jan  4 2021,18182
Texas,Jan  3 2021,16095
Texas,Jan  2 2021,4763
Texas,Jan  1 2021,16311
Texas,Dec 31 2020,18725
Texas,Dec 30 2020,21469
Texas,Dec 29 2020,32552
Texas,Dec 28 2020,14829
Texas,Dec 27 2020,8046
Texas,Dec 26 2020,2694
Texas,Dec 25 2020,4335
Texas,Dec 24 2020,17064
Texas,Dec 23 2020,23363
Texas,Dec 22 2020,21147
